Order,Node Name,ATen Operator,Backend Assignment,Is Delegated?
36,aten_convolution_default_8,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
37,aten__native_batch_norm_legit_no_training_default_8,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
38,getitem_9,<built-in function getitem>,XNNPACK (Accelerator),YES
39,aten_relu_default_7,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
40,aten_convolution_default_9,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
41,aten__native_batch_norm_legit_no_training_default_9,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
42,getitem_10,<built-in function getitem>,XNNPACK (Accelerator),YES
43,aten_relu_default_8,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
44,aten_convolution_default_10,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
45,aten__native_batch_norm_legit_no_training_default_10,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
46,getitem_11,<built-in function getitem>,XNNPACK (Accelerator),YES
47,aten_add_tensor_2,"<EdgeOpOverload: aten.add.Tensor>: schema = aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",XNNPACK (Accelerator),YES
48,aten_relu_default_9,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
49,aten_convolution_default_11,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
50,aten__native_batch_norm_legit_no_training_default_11,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
51,getitem_12,<built-in function getitem>,XNNPACK (Accelerator),YES
52,aten_relu_default_10,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
53,aten_convolution_default_12,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
54,aten__native_batch_norm_legit_no_training_default_12,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
55,getitem_13,<built-in function getitem>,XNNPACK (Accelerator),YES
56,aten_relu_default_11,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
57,aten_convolution_default_13,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
58,aten__native_batch_norm_legit_no_training_default_13,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
59,getitem_14,<built-in function getitem>,XNNPACK (Accelerator),YES
60,aten_convolution_default_14,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
61,aten__native_batch_norm_legit_no_training_default_14,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
62,getitem_15,<built-in function getitem>,XNNPACK (Accelerator),YES
63,aten_add_tensor_3,"<EdgeOpOverload: aten.add.Tensor>: schema = aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",XNNPACK (Accelerator),YES
64,aten_relu_default_12,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
65,aten_convolution_default_15,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
66,aten__native_batch_norm_legit_no_training_default_15,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
67,getitem_16,<built-in function getitem>,XNNPACK (Accelerator),YES
68,aten_relu_default_13,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
69,aten_convolution_default_16,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
70,aten__native_batch_norm_legit_no_training_default_16,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
71,getitem_17,<built-in function getitem>,XNNPACK (Accelerator),YES
72,aten_relu_default_14,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
73,aten_convolution_default_17,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
74,aten__native_batch_norm_legit_no_training_default_17,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
75,getitem_18,<built-in function getitem>,XNNPACK (Accelerator),YES
76,aten_add_tensor_4,"<EdgeOpOverload: aten.add.Tensor>: schema = aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",XNNPACK (Accelerator),YES
77,aten_relu_default_15,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
78,aten_convolution_default_18,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
79,aten__native_batch_norm_legit_no_training_default_18,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
80,getitem_19,<built-in function getitem>,XNNPACK (Accelerator),YES
81,aten_relu_default_16,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
82,aten_convolution_default_19,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
83,aten__native_batch_norm_legit_no_training_default_19,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
84,getitem_20,<built-in function getitem>,XNNPACK (Accelerator),YES
85,aten_relu_default_17,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
86,aten_convolution_default_20,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
87,aten__native_batch_norm_legit_no_training_default_20,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
88,getitem_21,<built-in function getitem>,XNNPACK (Accelerator),YES
89,aten_add_tensor_5,"<EdgeOpOverload: aten.add.Tensor>: schema = aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",XNNPACK (Accelerator),YES
90,aten_relu_default_18,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
91,aten_convolution_default_21,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
92,aten__native_batch_norm_legit_no_training_default_21,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
93,getitem_22,<built-in function getitem>,XNNPACK (Accelerator),YES
94,aten_relu_default_19,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
95,aten_convolution_default_22,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
96,aten__native_batch_norm_legit_no_training_default_22,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
97,getitem_23,<built-in function getitem>,XNNPACK (Accelerator),YES
98,aten_relu_default_20,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
99,aten_convolution_default_23,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
100,aten__native_batch_norm_legit_no_training_default_23,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
101,getitem_24,<built-in function getitem>,XNNPACK (Accelerator),YES
102,aten_add_tensor_6,"<EdgeOpOverload: aten.add.Tensor>: schema = aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",XNNPACK (Accelerator),YES
103,aten_relu_default_21,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
104,aten_convolution_default_24,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
105,aten__native_batch_norm_legit_no_training_default_24,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
106,getitem_25,<built-in function getitem>,XNNPACK (Accelerator),YES
107,aten_relu_default_22,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
108,aten_convolution_default_25,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
109,aten__native_batch_norm_legit_no_training_default_25,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
110,getitem_26,<built-in function getitem>,XNNPACK (Accelerator),YES
111,aten_relu_default_23,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
112,aten_convolution_default_26,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
113,aten__native_batch_norm_legit_no_training_default_26,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
114,getitem_27,<built-in function getitem>,XNNPACK (Accelerator),YES
115,aten_convolution_default_27,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
116,aten__native_batch_norm_legit_no_training_default_27,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
117,getitem_28,<built-in function getitem>,XNNPACK (Accelerator),YES
118,aten_add_tensor_7,"<EdgeOpOverload: aten.add.Tensor>: schema = aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",XNNPACK (Accelerator),YES
119,aten_relu_default_24,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
120,aten_convolution_default_28,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
121,aten__native_batch_norm_legit_no_training_default_28,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
122,getitem_29,<built-in function getitem>,XNNPACK (Accelerator),YES
123,aten_relu_default_25,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
124,aten_convolution_default_29,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
125,aten__native_batch_norm_legit_no_training_default_29,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
126,getitem_30,<built-in function getitem>,XNNPACK (Accelerator),YES
127,aten_relu_default_26,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
128,aten_convolution_default_30,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
129,aten__native_batch_norm_legit_no_training_default_30,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
130,getitem_31,<built-in function getitem>,XNNPACK (Accelerator),YES
131,aten_add_tensor_8,"<EdgeOpOverload: aten.add.Tensor>: schema = aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",XNNPACK (Accelerator),YES
132,aten_relu_default_27,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
133,aten_convolution_default_31,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
134,aten__native_batch_norm_legit_no_training_default_31,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
135,getitem_32,<built-in function getitem>,XNNPACK (Accelerator),YES
136,aten_relu_default_28,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
